Garen,FiddleSticks,Diana,Tristana,Rakan,Jax,MasterYi,Yone,Vayne,-8312,200
Swain,Anivia,Ziggs,Bard,Zeri,Olaf,Warwick,Brand,Fizz,Swain,Vayne,Diana,Rammus,Pantheon,DrMundo,42071,100
Mordekaiser,Karthus,Sylas,Caitlyn,Shen,Tryndamere,MasterYi,Diana,Jinx,8379,100
Tryndamere,Warwick,Akali,Jinx,Ahri,Nasus,Rammus,Naafiri,Samira,-10058,200
Sett,Diana,Akali,Caitlyn,Milio,Olaf,Lillia,Naafiri,MissFortune,4119,100
Nasus,Ekko,Zed,Vayne,Yuumi,Illaoi,Sett,Diana,Jhin,5000,100
Garen,Khazix,Ezreal,Varus,Morgana,Volibear,Nunu,Aphelios,Karthus,-5788,200
Nasus,Shyvana,Viktor,Samira,Lux,Illaoi,Khazix,Veigar,Varus,-9718,200
Garen,Diana,Ahri,Brand,Nami,Nasus,Lillia,Yone,Caitlyn,-6193,200
Aatrox,Jax,Anivia,Ashe,Hwei,Darius,Diana,Xerath,KogMaw,-12670,200
DrMundo,Zed,Lux,MissFortune,Alistar,Tryndamere,Diana,Gragas,Kalista,13937,100
Urgot,Kayn,Diana,Jinx,Lux,Gragas,Brand,Yasuo,Kaisa,10734,100
Varus,Diana,Corki,Yasuo,Nautilus,Renekton,Taliyah,Kassadin,Jhin,9398,100
Volibear,Diana,Irelia,Samira,Alistar,Mordekaiser,Darius,Yone,MissFortune,8552,100
Urgot,Lillia,Diana,KogMaw,Camille,Sion,Kayn,AurelionSol,Kaisa,-9738,200
Darius,Kayn,Diana,Xayah,Sona,Mordekaiser,JarvanIV,Velkoz,Ezreal,9214,100
Tryndamere,Skarner,Diana,Caitlyn,Braum,Sett,Vi,Zoe,MissFortune,-9059,200
Poppy,Evelynn,Teemo,Lucian,Milio,Tryndamere,LeeSin,Diana,Twitch,-11461,200
Akali,Diana,Poppy,Jinx,Velkoz,Sett,Warwick,Quinn,Vayne,-132,200
Garen,Twitch,Yone,Yasuo,Leona,Urgot,Jax,Diana,Jinx,-10492,200
Garen,Diana,Annie,Varus,Hwei,Renekton,Neeko,Yasuo,Jhin,9028,100
Mordekaiser,Lillia,Xerath,Lucian,Nami,Jax,Vi,Sylas,Jinx,-8408,200
Nasus,Hecarim,Akali,Zeri,Morgana,Tryndamere,Rengar,Diana,Jinx,-11879,200
Graves,Singed,Malphite,Jinx,Brand,Mordekaiser,Diana,Hwei,Sivir,-12011,200
Sion,Khazix,Veigar,Samira,Neeko,Trundle,Zac,Lux,MissFortune,-11912,200
Trundle,Shyvana,Orianna,MissFortune,Maokai,Illaoi,Lillia,Akshan,Jhin,-7714,200
